code_origin,nom_origin,code_dest,nom_dest,origin_dest,flux_etudes_2010,flux_etudes_2011,flux_etudes_2012,flux_etudes_2013,flux_etudes_2014,flux_etudes_2015,flux_etudes_2016,flux_etudes_2017,flux_etudes_2018,flux_etudes_2019,flux_etudes_2020,flux_travail_2010,flux_travail_2011,flux_travail_2012,flux_travail_2013,flux_travail_2014,flux_travail_2015,flux_travail_2016,flux_travail_2017,flux_travail_2018,flux_travail_2019,flux_travail_2020
27284,Gisors,95127,Cergy,27284_95127,,,,,,,,,,,,148,150,140,152,138,134,145,153,153,153,169
95563,Saint-Leu-la-Forêt,95127,Cergy,95563_95127,,,,114,129,143,126,125,138,142,148,118,,104,,119,113,117,118,138,143,151
60139,Chambly,95127,Cergy,60139_95127,,,,,,,,,,,,,,,,,,,,111,110,110
95355,Magny-en-Vexin,95127,Cergy,95355_95127,166,169,221,217,214,212,208,222,226,230,227,244,249,265,261,257,257,254,261,265,270,269
60143,Chaumont-en-Vexin,95127,Cergy,60143_95127,,,,,,,,,,,,,,,,,,,,,,100
60395,Méru,95127,Cergy,60395_95127,,,,,,,100,119,120,118,104,110,120,127,149,139,117,116,114,119,119,133
95572,Saint-Ouen-l'Aumône,95127,Cergy,95572_95127,275,272,278,303,334,376,372,323,321,324,295,673,733,763,757,805,804,760,718,745,757,752
75108,Paris 8e Arrondissement,95127,Cergy,75108_95127,,,,,,,,,100,101,,,,,,,,,,,,
75110,Paris 10e Arrondissement,95127,Cergy,75110_95127,,,,,,109,106,,,,,,,,,,,,,,,
75111,Paris 11e Arrondissement,95127,Cergy,75111_95127,163,180,160,187,187,173,159,159,128,130,110,,,102,,,,,,,,
75112,Paris 12e Arrondissement,95127,Cergy,75112_95127,,,,,,103,,106,123,123,128,106,,,,,,,,,,
75113,Paris 13e Arrondissement,95127,Cergy,75113_95127,112,106,,,,,,,,,100,,,,,,,,,,,
75114,Paris 14e Arrondissement,95127,Cergy,75114_95127,222,230,197,180,104,118,,128,126,132,139,,,,,,,,,,,
75115,Paris 15e Arrondissement,95127,Cergy,75115_95127,202,207,222,190,196,211,197,204,253,258,248,,,,,,100,,,,,
75116,Paris 16e Arrondissement,95127,Cergy,75116_95127,172,140,180,192,186,229,219,235,250,249,237,,,,,,,,,,,
75117,Paris 17e Arrondissement,95127,Cergy,75117_95127,220,205,239,258,258,275,273,260,251,253,234,158,158,164,161,156,177,183,205,195,197,174
95582,Sannois,95127,Cergy,95582_95127,118,166,173,167,166,169,130,150,162,163,158,160,175,168,150,159,172,153,171,173,176,173
75118,Paris 18e  Arrondissement,95127,Cergy,75118_95127,,,,117,124,133,120,128,123,123,125,188,125,144,118,125,126,110,102,105,105,123
75120,Paris 20e  Arrondissement,95127,Cergy,75120_95127,,,,,103,118,101,,110,109,113,,,,,,108,121,128,128,127,116
78005,Achères,95127,Cergy,78005_95127,132,149,151,161,160,169,173,156,128,129,124,161,156,184,179,191,199,211,183,191,196,182
95323,Jouy-le-Moutier,95127,Cergy,95323_95127,360,331,304,293,308,292,309,360,380,389,408,704,696,719,730,758,771,762,817,811,834,835
78015,Andrésy,95127,Cergy,78015_95127,,,,,,100,101,128,111,110,100,131,145,122,145,164,156,171,173,168,170,185
95313,L'Isle-Adam,95127,Cergy,95313_95127,112,111,,,,119,116,132,117,117,,179,170,163,179,176,217,222,234,237,236,204
78123,Carrières-sous-Poissy,95127,Cergy,78123_95127,,,,,,,,,,,103,,,,,,,,,,,
78138,Chanteloup-les-Vignes,95127,Cergy,78138_95127,,,,,,,,,,,,,,,106,108,110,110,113,110,110,
78172,Conflans-Sainte-Honorine,95127,Cergy,78172_95127,271,282,274,320,322,369,374,398,352,350,298,412,429,448,466,512,507,592,614,598,599,591
95585,Sarcelles,95127,Cergy,95585_95127,,,,,,,,108,,,107,,,,,,,,,,,
