code_origin,nom_origin,code_dest,nom_dest,origin_dest,flux_etudes_2010,flux_etudes_2011,flux_etudes_2012,flux_etudes_2013,flux_etudes_2014,flux_etudes_2015,flux_etudes_2016,flux_etudes_2017,flux_etudes_2018,flux_etudes_2019,flux_etudes_2020,flux_etudes_avg,flux_travail_2010,flux_travail_2011,flux_travail_2012,flux_travail_2013,flux_travail_2014,flux_travail_2015,flux_travail_2016,flux_travail_2017,flux_travail_2018,flux_travail_2019,flux_travail_2020,flux_travail_avg
95127,Cergy,78440,Les Mureaux,95127_78440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,113
95127,Cergy,95607,Taverny,95127_95607,0,0,0,0,0,0,0,0,0,0,0,0,118,140,144,135,116,120,137,143,144,148,156,136
95127,Cergy,95637,Vauréal,95127_95637,215,236,231,220,264,244,233,278,274,266,301,251,162,181,201,206,219,229,196,205,205,192,180,198
95127,Cergy,75101,Paris 1er Arrondissement,95127_75101,0,0,0,0,0,0,0,0,0,0,0,0,208,203,269,241,208,209,209,162,182,173,173,203
95127,Cergy,75102,Paris 2e Arrondissement,95127_75102,0,0,0,0,0,0,0,0,0,0,0,0,166,184,179,174,152,126,132,165,192,190,189,168
95127,Cergy,75104,Paris 4e  Arrondissement,95127_75104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,117,111,104,0,0,0,112
95127,Cergy,75105,Paris 5e  Arrondissement,95127_75105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,105,108,106,0,0,0,0,0,107
95127,Cergy,75106,Paris 6e Arrondissement,95127_75106,0,0,0,0,0,0,0,0,0,0,0,0,101,100,107,0,0,0,0,0,0,0,0,103
95127,Cergy,75107,Paris 7e Arrondissement,95127_75107,0,0,0,0,0,0,0,0,0,0,0,0,125,129,125,128,142,135,111,118,140,142,183,134
95127,Cergy,75108,Paris 8e Arrondissement,95127_75108,0,0,0,0,0,0,0,0,0,0,0,0,535,611,652,665,646,650,606,623,647,652,643,630
95127,Cergy,75109,Paris 9e Arrondissement,95127_75109,0,0,0,0,0,0,0,0,0,0,0,0,358,355,366,396,422,450,469,486,469,439,376,417
95127,Cergy,75110,Paris 10e Arrondissement,95127_75110,0,0,0,0,0,0,0,0,0,0,0,0,180,169,165,162,168,168,188,184,175,175,191,175
95127,Cergy,75111,Paris 11e Arrondissement,95127_75111,0,0,0,0,0,0,0,0,0,0,0,0,179,130,138,115,119,143,134,130,137,151,162,140
95127,Cergy,75112,Paris 12e Arrondissement,95127_75112,0,0,0,0,0,0,0,0,0,0,0,0,216,261,290,299,308,303,258,252,257,243,228,265
95127,Cergy,75113,Paris 13e Arrondissement,95127_75113,0,0,0,0,0,0,0,119,158,155,150,146,250,259,249,232,225,199,185,184,199,199,229,219
95127,Cergy,75114,Paris 14e Arrondissement,95127_75114,0,0,0,0,0,0,0,0,0,0,0,0,162,151,189,159,137,129,134,117,118,128,133,142
